t_s,V_pu,delta_V_pu,V_initial_pu
2.86,1.024043806365531,-0.005956193639274687,1.0300000000048057
2.87,1.0240559344918274,-0.005944065512978325,1.0300000000048057
2.88,1.0240676707714125,-0.005932329233393263,1.0300000000048057
2.89,1.0240789956738463,-0.005921004330959434,1.0300000000048057
2.9,1.0240898910367526,-0.005910108968053107,1.0300000000048057
2.91,1.0241003400812736,-0.005899659923532141,1.0300000000048057
2.92,1.0241103274244563,-0.005889672580349448,1.0300000000048057
2.93,1.0241198390887747,-0.005880160916031052,1.0300000000048057
2.94,1.0241288625085188,-0.005871137496286982,1.0300000000048057
2.95,1.0241373865334997,-0.005862613471306011,1.0300000000048057
2.96,1.024145401429573,-0.005854598575232739,1.0300000000048057
2.97,1.0241528988766118,-0.005847101128193977,1.0300000000048057
2.98,1.0241598719633505,-0.005840128041455284,1.0300000000048057
2.99,1.024166315179693,-0.005833684825112817,1.0300000000048057
3.0,1.0241722244060234,-0.0058277755987823365,1.0300000000048057
3.01,1.0241775968999824,-0.005822403104823293,1.0300000000048057
3.02,1.0241824312804664,-0.0058175687243393615,1.0300000000048057
3.03,1.0241867275089698,-0.005813272495835964,1.0300000000048057
3.04,1.0241904868684288,-0.005809513136376898,1.0300000000048057
3.05,1.0241937119394087,-0.005806288065397069,1.0300000000048057
3.06,1.0241964065739186,-0.0058035934308870996,1.0300000000048057
3.07,1.0241985758667191,-0.005801424138086597,1.0300000000048057
3.08,1.024200226124345,-0.005799773880460712,1.0300000000048057
3.09,1.0242013648317745,-0.005798635173031252,1.0300000000048057
3.1,1.0242020006169712,-0.00579799938783454,1.0300000000048057
3.11,1.0242021432132107,-0.005797856791595057,1.0300000000048057
3.12,1.0242018034194564,-0.005798196585349302,1.0300000000048057
3.13,1.0242009930587281,-0.005799006946077601,1.0300000000048057
3.14,1.0241997249346546,-0.0058002750701511285,1.0300000000048057
3.15,1.0241980127862709,-0.005801987218534865,1.0300000000048057
3.16,1.0241958712411958,-0.005804128763609917,1.0300000000048057
3.17,1.0241933157672725,-0.005806684237533277,1.0300000000048057
