t_s,delta_pm_pu,Pm0_pu_sysbase
4.81,0.05220646145914575,1.1175729314688707
4.82,0.05221399475100327,1.1175729314688707
4.83,0.052221512207212314,1.1175729314688707
4.84,0.05222900432093271,1.1175729314688707
4.85,0.052236461808399706,1.1175729314688707
4.86,0.05224387562711952,1.1175729314688707
4.87,0.05225123699314729,1.1175729314688707
4.88,0.052258537397431463,1.1175729314688707
4.89,0.05226576862118384,1.1175729314688707
4.9,0.05227292275028531,1.1175729314688707
4.91,0.052279992188673,1.1175729314688707
4.92,0.052286969670730724,1.1175729314688707
4.93,0.052293848272655374,1.1175729314688707
4.94,0.05230062142277374,1.1175729314688707
4.95,0.05230728291085315,1.1175729314688707
4.96,0.05231382689632919,1.1175729314688707
4.97,0.05232024791554048,1.1175729314688707
4.98,0.0523265408878759,1.1175729314688707
4.99,0.05233270112092539,1.1175729314688707
5.0,0.05233872431457487,1.1175729314688707
5.01,0.05234460656408985,1.1175729314688707
5.02,0.052350344362203156,1.1175729314688707
5.03,0.05235593460017835,1.1175729314688707
5.04,0.052361374567926486,1.1175729314688707
5.05,0.05236666195312618,1.1175729314688707
5.06,0.052371794839437914,1.1175729314688707
5.07,0.05237677170375533,1.1175729314688707
5.08,0.05238159141260124,1.1175729314688707
5.09,0.052386253217610056,1.1175729314688707
5.1,0.052390756750194875,1.1175729314688707
5.11,0.052395102015371814,1.1175729314688707
5.12,0.05239928938481331,1.1175729314688707
5.13,0.05240331958912389,1.1175729314688707
5.14,0.05240719370941021,1.1175729314688707
5.15,0.05241091316813543,1.1175729314688707
5.16,0.052414479719335626,1.1175729314688707
5.17,0.05241789543818298,1.1175729314688707
5.18,0.05242116271000151,1.1175729314688707
5.19,0.05242428421868724,1.1175729314688707
5.2,0.05242726293464968,1.1175729314688707
5.21,0.05243010210224973,1.1175729314688707
5.22,0.05243280522682702,1.1175729314688707
5.23,0.05243537606129823,1.1175729314688707
5.24,0.052437818592428624,1.1175729314688707
5.25,0.05244013702675159,1.1175729314688707
5.26,0.05244233577623067,1.1175729314688707
5.27,0.052444419443671016,1.1175729314688707
5.28,0.052446392807928593,1.1175729314688707
5.29,0.05244826080895392,1.1175729314688707
5.3,0.0524500285327195,1.1175729314688707
5.31,0.0524517011960551,1.1175729314688707
5.32,0.05245328413143848,1.1175729314688707
5.33,0.05245478277177264,1.1175729314688707
5.34,0.05245620263519369,1.1175729314688707
5.35,0.05245754930994094,1.1175729314688707
5.36,0.05245882843931986,1.1175729314688707
5.37,0.05246004570680934,1.1175729314688707
5.38,0.05246120682132433,1.1175729314688707
5.39,0.052462317502684756,1.1175729314688707
5.4,0.05246338346731347,1.1175729314688707
5.41,0.05246441041419505,1.1175729314688707
5.42,0.05246540401112911,1.1175729314688707
5.43,0.052466369881300635,1.1175729314688707
