t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
1.53,1.2621671740734786,-0.04743341805894091,1.2621671740734786,-0.04743341805894091,1.3734044925168556,-0.16778313110782223,0.0,0.0,SG-slack
1.54,1.26247298875087,-0.047608959120809896,1.26247298875087,-0.047608959120809896,1.3737103071942471,-0.1679586721696912,0.0,0.0,SG-slack
1.55,1.2629442730576972,-0.04778800393066718,1.2629442730576972,-0.04778800393066718,1.3741815915010742,-0.1681377169795485,0.0,0.0,SG-slack
1.56,1.2635834349738533,-0.047970400006479896,1.2635834349738533,-0.047970400006479896,1.3748207534172303,-0.1683201130553612,0.0,0.0,SG-slack
1.57,1.2643920886451392,-0.0481559598579516,1.2643920886451392,-0.0481559598579516,1.3756294070885162,-0.1685056729068329,0.0,0.0,SG-slack
1.58,1.2653710650093286,-0.04834446196272432,1.2653710650093286,-0.04834446196272432,1.3766083834527056,-0.16869417501160563,0.0,0.0,SG-slack
1.59,1.2665204267358954,-0.04853565206853211,1.2665204267358954,-0.04853565206853211,1.3777577451792724,-0.16888536511741342,0.0,0.0,SG-slack
1.6,1.2678394870995846,-0.04872924487854177,1.2678394870995846,-0.04872924487854177,1.3790768055429616,-0.16907895792742308,0.0,0.0,SG-slack
1.61,1.2693268326324292,-0.0489249260270887,1.2693268326324292,-0.0489249260270887,1.3805641510758062,-0.16927463907597,0.0,0.0,SG-slack
1.62,1.270980349200271,-0.04912235435820905,1.270980349200271,-0.04912235435820905,1.382217667643648,-0.16947206740709037,0.0,0.0,SG-slack
1.63,1.2727972512055907,-0.04932116445967111,1.2727972512055907,-0.04932116445967111,1.3840345696489678,-0.16967087750855242,0.0,0.0,SG-slack
1.64,1.2747741136605362,-0.04952096941008499,1.2747741136605362,-0.04952096941008499,1.3860114321039132,-0.1698706824589663,0.0,0.0,SG-slack
1.65,1.2769069067119765,-0.049721363724151174,1.2769069067119765,-0.049721363724151174,1.3881442251553535,-0.1700710767730325,0.0,0.0,SG-slack
1.66,1.279191032382085,-0.049921926433941305,1.279191032382085,-0.049921926433941305,1.390428350825462,-0.17027163948282262,0.0,0.0,SG-slack
1.67,1.2816213631251068,-0.05012222429410293,1.2816213631251068,-0.05012222429410293,1.3928586815684838,-0.17047193734298424,0.0,0.0,SG-slack
1.68,1.2841922818927898,-0.050321815048148116,1.2841922818927898,-0.050321815048148116,1.3954296003361668,-0.17067152809702943,0.0,0.0,SG-slack
1.69,1.2868977233988663,-0.050520250745169165,1.2868977233988663,-0.050520250745169165,1.3981350418422434,-0.17086996379405048,0.0,0.0,SG-slack
1.7,1.2897312162158414,-0.05071708105102357,1.2897312162158414,-0.05071708105102357,1.4009685346592184,-0.17106679409990488,0.0,0.0,SG-slack
1.71,1.2926859254167533,-0.050911856527371374,1.2926859254167533,-0.050911856527371374,1.4039232438601303,-0.1712615695762527,0.0,0.0,SG-slack
